date,open,high,low,close,volume
2020-09-15,314.142185,314.971002,311.701769,313.267334,52920900
2020-09-16,314.501370,315.928776,311.747818,312.024109,82096000
2020-09-17,307.180132,310.992731,306.655205,309.279816,91523300
2020-09-18,310.083293,310.194241,303.241254,305.719177,105877900
2020-09-21,301.142387,302.464559,297.471722,302.316620,99450800
2020-09-22,303.795998,305.950304,301.290310,305.395538,63612100
2020-09-23,305.950291,306.227688,297.813818,298.313110,93112200
2020-09-24,297.000219,302.159478,295.687273,299.108307,76681300
2020-09-25,298.257653,304.729858,297.388555,303.943970,71069400
2020-09-28,308.095385,309.704181,307.106056,308.992249,64584600
2020-09-29,308.788845,309.528514,306.616028,307.309479,51304000
2020-09-30,307.975228,312.783163,307.781070,309.639526,104081100
2020-10-01,312.228243,313.199062,309.750321,311.627258,88698700
2020-10-02,306.690040,311.599667,306.218485,308.668671,89431100
2020-10-05,310.721240,314.327176,310.675021,314.142273,45713100
2020-10-06,314.281035,316.370642,309.167995,309.676514,90128900
2020-10-07,312.625936,315.871293,312.598199,315.066895,56999600
2020-10-08,316.999351,317.923951,316.083977,317.859222,45242500
2020-10-09,319.504981,321.160024,318.885514,320.697723,59528600
2020-10-12,323.231072,327.327045,322.741035,325.856934,80388500
2020-10-13,325.718293,325.893970,322.768815,323.730408,73255500
2020-10-14,324.303577,325.394599,320.965784,321.696198,57727900
2020-10-15,317.794371,321.779397,317.258116,321.298615,60357700
2020-10-16,322.648620,324.303663,320.928877,321.104553,89501900
2020-10-19,322.361989,322.990711,315.325793,316.222656,68425600
2020-10-20,317.563305,320.725451,316.805154,317.489349,60051900
2020-10-21,317.443074,319.606664,316.583202,316.888336,63575000
2020-10-22,317.100971,319.209059,314.965146,318.626556,55399300
2020-10-23,319.847028,319.902502,317.258158,319.708344,49143900
2020-10-26,316.333536,317.119452,310.314379,313.800140,91473000
2020-10-27,314.142307,314.475150,312.505746,312.718414,65994100
2020-10-28,307.059890,312.746178,301.540023,302.030060,127094300
2020-10-29,302.261170,308.261819,300.578391,305.099701,90597700
2020-10-30,303.527894,304.831584,298.276169,301.919098,120287300
2020-11-02,305.303131,307.300244,302.566293,305.303131,86068300
2020-11-03,308.530011,312.746188,305.386374,310.693573,93294200
2020-11-04,315.159348,321.705536,313.985115,317.637299,126959700
2020-11-05,322.907553,325.635136,322.556200,323.832153,82039700
2020-11-06,323.545510,325.006395,321.437422,323.758179,74973000
2020-11-09,336.526881,336.905970,327.364085,327.826385,172304200
2020-11-10,326.837064,328.399642,324.081773,327.345612,85552000
2020-11-11,329.527653,330.600193,328.288692,329.777313,58649000
2020-11-12,328.769424,329.823482,324.775171,326.578125,67546200
2020-11-13,328.482821,331.839126,327.965047,331.099457,62892200
2020-11-16,333.762310,335.426580,332.477102,335.232422,74541100
2020-11-17,332.828459,334.631441,331.321355,333.429443,66111000
2020-11-18,333.697623,334.243134,329.379726,329.416718,70591300
2020-11-19,328.788027,331.173485,327.447345,330.803650,59940900
2020-11-20,330.544664,330.748078,328.464313,328.538269,70417300
2020-11-23,330.341239,331.765131,328.112948,330.507660,63230600
2020-11-24,333.050378,336.378946,332.199761,335.833435,62415900
2020-11-25,335.750176,335.777913,334.224591,335.315613,45330900
2020-11-27,336.406647,336.721008,335.241642,336.249481,28514100
2020-11-30,335.472766,335.740908,332.088753,334.760834,83872700
2020-12-01,338.006218,339.957112,337.414461,338.422272,74231400
2020-12-02,337.312783,339.291413,336.739535,339.134247,45927000
2020-12-03,339.032554,340.428710,337.941532,339.041809,62882000
2020-12-04,339.624263,341.963501,339.531797,341.963501,50749900
2020-12-07,341.196044,341.750810,339.994075,341.260773,48944300
2020-12-08,339.994117,342.823392,339.947898,342.259399,42458900
2020-12-09,342.915805,343.072972,338.357532,339.189667,74098300
2020-12-10,337.821264,340.123510,336.952137,339.078735,57735400
2020-12-11,337.386717,339.087979,335.870387,338.681152,57698600
2020-12-14,340.844807,341.917319,336.989210,337.164886,69216200
2020-12-15,339.698206,341.723083,338.329816,341.723083,63865300
2020-12-16,341.935784,343.174745,341.057402,342.259399,58420500
2020-12-17,343.895910,344.376692,343.073002,344.173279,64119500
2020-12-18,344.461139,344.628270,340.793388,342.799042,136542300
2020-12-21,338.889924,351.415944,336.160008,341.573395,96386700
2020-12-22,341.898367,342.009788,339.874153,340.997681,47949000
2020-12-23,341.963364,343.207607,340.979112,341.304108,46201400
2020-12-24,341.777657,342.659783,341.192699,342.631927,26457900
2020-12-28,345.176145,345.965411,344.554038,345.575439,39000400
2020-12-29,347.098217,347.274642,344.331152,344.916138,53680500
2020-12-30,345.733198,346.438899,345.018231,345.408203,49455300
2020-12-31,345.213204,347.887408,344.702517,347.163147,78520700
2021-01-04,348.490971,348.620981,338.750578,342.436890,110210800
2021-01-05,341.796329,345.881908,341.749885,344.795502,66426200
2021-01-06,343.291154,350.041670,342.743317,346.856750,107997700
2021-01-07,349.224598,352.753046,349.048173,352.010223,68766800
2021-01-08,353.393825,354.229507,350.153222,354.015961,71677200
2021-01-11,350.849484,353.384385,350.728769,351.629456,51034700
2021-01-12,351.815245,352.715904,349.466007,351.703796,52547700
2021-01-13,351.629447,353.644366,350.849475,352.650848,45303600
2021-01-14,353.393692,353.895112,351.081632,351.415894,49989100
2021-01-15,349.800252,350.598784,346.996066,348.853149,107160000
2021-01-19,351.304501,352.130916,349.828122,351.592346,51233300
2021-01-20,353.876513,357.293568,353.486541,356.457886,61836100
2021-01-21,357.015033,357.442183,355.863651,356.782898,47840100
2021-01-22,354.935095,356.680758,354.554389,355.520081,52860500
2021-01-25,356.253690,357.275063,351.415966,356.922241,70402000
2021-01-26,357.869254,358.277814,356.132885,356.365021,42665300
2021-01-27,353.050129,353.142989,345.426810,347.655304,123351100
2021-01-28,349.465937,354.637921,349.029549,350.645203,94198100
2021-01-29,348.788148,349.753839,341.954066,343.625458,126765100
2021-02-01,347.014627,350.375944,343.913301,349.345276,75817600
2021-02-02,352.520872,355.835772,349.428840,354.285095,64450700
2021-02-03,355.111496,356.281468,353.291562,354.563660,52427100
